word,count
mornin',64
video,64
pleasure,64
tan,64
chair,64
cure,64
swing,64
garden,64
es,64
island,64
super,64
buck,64
bend,64
cute,64
butt,64
pac,64
poker,64
pressure,63
spark,63
wash,63
enemies,63
advice,63
escape,63
text,63
brains,63
dread,63
missed,63
mountains,63
tennessee,63
brothers,63
theyre,63
system,63
wee,63
heres,63
bricks,62
games,62
blowing,62
lately,62
ow,62
belle,62
hmm,62
weekend,62
fifty,62
force,62
wiggle,62
hips,62
sticky,62
ease,61
selfish,61
spinning,61
showed,61
self,61
brings,61
gats,61
bee,61
anywhere,61
stands,61
uhhuh,61
hotter,61
flat,61
fools,61
surrender,61
promised,61
beast,61
parking,61
tape,61
candy,61
dogs,61
shakin',61
slide,61
secured,61
smokin,61
decide,60
papers,60
whisper,60
surely,60
plenty,60
fallin',60
th,60
knife,60
hung,60
drag,60
tour,60
steps,60
dragon,60
trade,60
makin,60
finna,60
travelin',60
tip,59
bars,59
seeing,59
youve,59
college,59
plain,59
shooting,59
rolled,59
cost,59
army,59
sang,59
beach,59
ears,59
dollars,59
friday,59
thinkin,59
colors,59
playin,59
windows,59
ahh,59
moves,58
cares,58
slave,58
mighty,58
notice,58
players,58
y,58
screen,58
listening,58
weather,58
built,58
questions,58
picked,58
chicago,58
paris,58
itll,58
trap,58
li,58
match,57
spoke,57
givin',57
eating,57
raw,57
tracks,57
blows,57
cards,57
writing,57
bathroom,57
bills,57
smoking,57
runs,57
glow,57
leather,57
feelin,57
poppin',57
tie,57
stage,57
lee,57
mall,57
fail,56
fault,56
north,56
rollin',56
nothing's,56
stacks,56
singin',56
travel,56
form,56
tale,56
dinner,56
strength,56
deny,56
truly,56
worked,56
flex,56
she'd,56
shore,56
drake,56
tu,56
ii,56
steel,56
gang,56
tunechi,56
pills,56
homies,56
raah,56
dungeon,56
valley,55
kisses,55
lied,55
station,55
throat,55
bare,55
rising,55
hustle,55
remain,55
jane,55
wearing,55
size,55
tricks,55
tied,55
cloud,55
fan,55
attitude,55
himself,55
closing,55
scary,55
